,acousticness
247,0.0957
248,0.251
249,0.029
250,0.00744
251,0.449
252,0.275
253,0.212
254,0.0559
255,0.00333
256,0.0332
257,0.539
258,0.0257
259,0.0193
260,0.0181
261,0.0062
262,0.108
263,0.196
264,0.667
265,0.124
266,0.074
267,0.0962
268,0.455
269,0.015
270,0.172
271,0.123
272,0.00593
273,0.174
274,0.0059
275,0.000304
276,0.29
277,0.00412
278,0.00492
279,0.384
280,0.00978
281,0.0621
282,0.081
283,0.0269
284,0.428
285,0.699
286,0.22
287,0.516
288,0.00564
289,0.504
290,0.825
291,0.0453
292,0.259
293,0.00403
294,0.0141
295,0.127
296,0.379
297,0.0861
298,0.26
299,0.032
300,0.0356
301,0.0453
302,0.19
303,0.407
304,0.854
305,0.153
306,0.321
307,0.00079
308,0.0259
309,0.058
310,0.0498
311,0.0803
312,0.118
313,0.00189
314,0.0174
315,0.124
316,0.00838
317,0.429
318,0.419
319,0.106
320,0.0211
321,0.00799
322,0.00236
323,0.0602
324,0.219
325,0.0138
326,0.0169
327,0.315
328,0.518
329,0.0567
330,0.0286
331,0.00909
332,0.0445
333,0.119
334,0.0111
335,0.388
336,2.84E-06
337,0.0115
338,0.136
339,0.00328
340,0.376
341,0.196
342,0.248
343,0.0686
344,0.602
345,0.0893
346,0.000141
347,0.0469
348,0.133
349,0.157
350,0.371
351,0.0124
352,0.19
353,0.0953
354,0.27
355,0.0846
356,0.00855
357,0.128
358,0.088
359,0.0406
360,0.0377
361,0.021
362,0.0466
363,0.16
364,0.00266
365,0.0833
366,0.445
367,0.304
368,0.109
369,0.0152
370,0.273
371,0.0146
372,0.0573
373,0.726
374,0.0487
375,0.111
376,0.0207
377,0.102
378,0.00757
379,0.01
380,2.24E-05
381,0.038
382,0.765
383,0.775
384,0.000429
385,0.323
386,0.0301
387,0.268
388,0.0626
389,0.000239
390,0.317
391,0.00605
392,0.0818
393,0.0021
394,0.016
395,0.0385
396,0.304
397,0.113
398,0.0414
399,0.704
400,0.785
401,0.629
402,0.0167
403,0.391
404,0.0301
405,0.27
406,0.107
407,0.96
408,0.124
409,0.0245
410,0.0194
411,0.0129
412,0.0106
413,0.115
414,0.195
415,0.034
416,0.0079
417,0.00525
418,0.482
419,0.0124
420,0.000199
421,0.119
422,0.0463
423,0.0602
424,0.00914
425,0.0555
426,0.132
427,0.0101
428,0.000613
429,0.0571
430,0.0212
431,0.459
432,0.198
433,0.0198
434,0.00417
435,0.00529
436,0.0039
437,0.00501
438,0.929
439,0.00145
440,0.369
441,0.00096
442,0.0244
443,0.00632
444,0.158
445,0.00441
446,0.0729
447,0.652
448,0.00091
449,0.126
450,0.0184
451,0.0914
452,0.154
453,0.386
454,0.00983
455,0.00215
456,0.676
457,0.0693
458,0.0961
459,0.00254
460,0.394
461,2.15E-05
462,0.185
463,0.00649
464,0.00947
465,0.0507
466,0.738
467,0.000419
468,0.00176
469,0.02
470,0.00402
471,0.00241
472,0.652
473,0.196
474,0.0305
475,0.0229
476,0.000963
477,0.233
478,0.0175
479,0.00314
480,0.0369
481,0.0152
482,0.00206
483,0.429
484,0.000407
485,0.0401
486,0.000299
487,0.0193
488,0.122
489,0.0998
490,0.0285
491,0.0132
492,0.275
493,0.000483
494,0.00138
495,0.0086
496,0.000248
497,0.0227
498,0.00569
499,0.0365
500,0.289
501,0.232
502,0.0989
503,0.000869
504,0.148
505,0.0173
506,0.00991
507,0.473
508,0.0246
509,0.00909
510,0.122
511,0.0764
512,0.419
513,0.229
514,0.0413
515,0.000105
516,0.52
517,0.0833
518,0.0156
519,0.145
520,0.0275
521,0.000103
522,0.0329
523,0.0842
524,0.597
525,0.0801
526,0.0726
527,0.203
528,0.00341
529,0.0581
530,7.79E-05
531,0.001
532,3.41E-05
533,0.00814
534,0.00023
535,0.0214
536,0.11
537,0.0036
538,0.000183
539,0.000964
540,0.104
541,0.000341
542,0.854
543,0.0372
544,0.0101
545,0.0543
546,0.169
547,0.0175
548,0.8
549,0.0845
550,0.00135
551,0.0193
552,0.0113
553,0.453
554,0.00104
555,4.06E-05
556,0.0829
557,0.0985
558,0.000455
559,9.19E-06
560,0.074
561,0.0324
562,0.00069
563,0.135
564,0.139
565,0.263
566,0.131
567,0.164
568,0.0451
569,0.116
570,0.078
571,0.109
572,0.00855
573,0.0015
574,0.018
575,0.0047
576,0.135
577,0.0202
578,0.00627
579,0.151
580,0.049
581,0.0119
582,0.00207
583,0.432
584,0.0452
585,0.00469
586,0.00271
587,0.0401
588,0.239
589,0.0425
590,0.0596
591,0.000451
592,0.00402
593,0.0912
594,0.00741
595,0.000117
596,0.0295
597,0.0492
598,0.00905
599,0.0234
600,0.423
601,0.00201
602,0.0196
603,0.00263
604,0.014
605,0.00167
606,0.000321
607,0.0537
608,0.00576
609,3.13E-05
610,0.00318
611,0.000548
612,0.0482
613,8.34E-05
614,0.769
615,0.0302
616,0.00706
617,0.15
618,0.00749
619,0.0765
620,0.116
621,0.00221
622,0.0106
623,0.0415
624,0.0426
625,0.0436
626,0.00584
627,0.0347
628,0.00116
629,0.0637
630,0.244
631,0.45
632,0.121
633,0.000478
634,0.14
635,0.000373
636,0.00417
637,0.000839
638,0.000423
639,0.284
640,0.00255
641,0.0302
642,0.0267
643,0.000891
644,0.152
645,0.0956
646,0.000736
647,0.028
648,0.274
649,0.00845
650,0.00968
651,0.0613
652,0.00579
653,0.0472
654,0.000289
655,0.000183
656,0.000258
657,0.00533
658,0.0216
659,0.0597
660,0.0155
661,0.0645
662,0.0553
663,0.00778
664,0.00842
665,0.315
666,0.114
667,0.025
668,0.436
669,0.461
670,0.0235
671,0.444
672,0.000134
673,0.00264
674,0.155
675,0.0352
676,0.003
677,0.426
678,0.0152
679,0.311
680,0.104
681,0.011
682,0.00246
683,0.0557
684,0.0281
685,0.475
686,0.356
687,0.109
688,0.0938
689,0.152
690,0.0247
691,0.00469
692,0.422
693,0.268
694,0.00142
695,0.0296
696,0.00255
697,0.000901
698,0.00525
699,0.0215
700,0.015
701,0.0193
702,0.32
703,0.00152
704,0.00723
705,0.224
706,0.000768
707,0.00144
708,0.0252
709,4.91E-05
710,0.0468
711,0.00174
712,0.268
713,0.0438
714,0.000334
715,0.0175
716,0.0426
717,0.00349
718,0.717
719,0.0151
720,0.03
721,0.344
722,0.278
723,0.591
724,0.189
725,0.0543
726,0.886
727,0.076
728,0.00963
729,0.000195
730,0.0715
731,0.0246
732,0.0116
733,0.649
734,0.0392
735,0.00626
736,0.0086
737,0.0152
738,0.064
739,0.000986
740,0.949
741,0.000483
742,0.503
743,0.364
744,0.514
745,0.351
746,0.000294
747,0.134
748,0.00969
749,7.59E-05
750,0.00778
751,0.0261
752,0.0416
753,0.00207
754,0.162
755,0.0233
756,0.37
757,0.00392
758,0.14
759,0.0796
760,0.00135
761,0.858
762,0.464
763,0.00539
764,0.00011
765,0.000595
766,0.421
767,0.00767
768,0.112
769,0.000518
770,0.0235
771,0.00204
772,0.00118
773,0.000725
774,0.00188
775,0.0454
776,0.548
777,0.15
778,0.106
779,0.763
780,0.0505
781,0.394
782,0.000599
783,0.0126
784,0.713
785,0.0323
786,0.768
787,0.00416
788,0.00692
789,0.712
790,0.296
791,0.000563
792,0.36
793,0.0674
794,0.00342
795,0.000588
796,0.0421
797,0.0326
798,0.123
799,0.0625
800,0.602
801,0.00234
802,0.0389
803,0.605
804,0.00042
805,0.464
806,0.619
807,0.0758
808,0.565
809,0.615
810,0.207
811,0.114
812,0.00884
813,0.114
814,0.000321
815,0.612
816,0.172
817,0.99
818,0.227
819,0.00497
820,0.0113
821,0.0226
822,0.666
823,0.11
824,0.391
825,0.0975
826,0.0169
827,0.0339
828,0.127
829,0.13
830,0.597
831,0.0672
832,0.218
833,0.0319
834,0.269
835,0.000997
836,0.304
837,0.103
838,0.201
839,0.611
840,0.0185
841,0.737
842,0.229
843,0.236
844,0.436
845,0.000641
846,0.00254
847,0.0043
848,0.00524
849,0.0263
850,0.000173
851,0.136
852,0.00479
853,0.271
854,0.934
855,0.813
856,0.00113
857,0.557
858,0.916
859,0.00325
860,0.517
861,0.292
862,0.0164
863,0.0314
864,0.0114
865,0.0491
866,0.895
867,0.0624
868,0.000286
869,4.19E-05
870,0.0983
871,0.314
872,0.809
873,0.723
874,0.577
875,0.59
876,0.156
877,0.887
878,0.149
879,0.00727
880,0.349
881,4.61E-06
882,0.0175
883,0.198
884,0.00543
885,0.101
886,0.612
887,0.000825
888,0.478
889,0.0716
890,0.0328
891,0.0664
892,0.00324
893,0.000624
894,0.000334
895,0.331
896,0.00431
897,0.0252
898,0.0125
899,0.198
900,0.00166
901,0.0289
902,0.0124
903,0.0245
904,0.411
905,0.157
906,2.6E-05
907,0.000885
908,0.207
909,0.242
910,0.643
911,0.312
912,0.847
913,0.00428
914,0.0154
915,0.00207
916,0.16
917,0.000779
918,0.0476
919,0.717
920,0.218
921,0.783
922,0.087
923,0.0112
924,0.0133
925,0.0044
926,0.9
927,0.934
928,0.0395
929,0.189
930,6.89E-05
931,0.0552
932,0.136
933,0.00134
934,0.155
935,0.0599
936,0.189
937,0.0633
938,0.56
939,0.0442
940,0.0004
941,0.078
942,1.65E-05
943,0.0423
944,0.0109
945,0.016
946,0.028
947,0.00159
948,0.003
949,0.0372
950,0.514
951,0.109
952,0.758
953,0.34
954,0.269
955,0.411
956,0.666
957,0.517
958,0.00594
959,0.0173
960,0.0681
961,0.0853
962,0.661
963,0.543
964,0.211
965,0.0378
966,0.0159
967,0.0384
968,0.000954
969,0.147
970,0.00444
971,0.222
972,0.0745
973,0.957
974,0.0475
975,0.00369
976,0.0216
977,0.156
978,0.112
979,0.382
980,0.0564
981,0.0369
982,0.655
983,0.138
984,0.345
985,0.2
986,0.0739
987,0.00535
988,0.208
989,0.0019
990,0.135
991,0.0208
992,0.144
993,0.0559
994,0.0852
995,4.69E-06
996,0.148
997,0.374
998,0.142
999,0.0313
1000,0.00531
1001,0.0381
1002,0.102
1003,0.377
1004,0.0669
1005,0.285
1006,0.289
1007,0.202
1008,0.671
1009,0.352
1010,0.00298
1011,0.397
1012,0.134
1013,0.0641
1014,0.375
1015,0.258
1016,0.0103
1017,0.329
1018,0.35
1019,0.1
1020,0.819
1021,0.0677
1022,0.013
1023,0.231
1024,0.000907
1025,0.01
1026,0.0538
1027,0.151
1028,0.27
1029,0.0549
1030,0.0966
1031,0.0244
1032,0.0102
1033,0.148
1034,0.00733
1035,0.0165
1036,0.124
1037,0.661
1038,0.0159
1039,0.335
1040,0.234
1041,0.144
1042,0.0494
1043,0.214
1044,0.733
1045,0.0968
1046,0.333
1047,0.0915
1048,0.0207
1049,0.0558
1050,0.00898
1051,0.0993
1052,0.424
1053,0.397
1054,0.0166
1055,0.0344
1056,0.00566
1057,0.186
1058,0.0179
1059,0.0292
1060,0.312
1061,0.116
1062,0.638
1063,0.463
1064,0.208
1065,0.861
1066,0.0209
1067,0.0406
1068,0.422
1069,0.0527
1070,0.00434
1071,0.0551
1072,0.273
1073,0.129
1074,0.865
1075,0.279
1076,0.2
1077,0.0304
1078,0.229
1079,0.231
1080,0.0744
1081,0.0258
1082,0.243
1083,0.0245
1084,0.286
1085,0.168
1086,0.0277
1087,0.154
1088,0.0559
1089,0.116
1090,0.27
1091,0.209
1092,0.4
1093,0.0309
1094,0.547
1095,0.211
1096,0.205
1097,0.00431
1098,0.551
1099,0.0897
1100,0.256
1101,0.125
1102,0.167
1103,0.142
1104,0.204
1105,0.053
1106,0.206
1107,0.163
1108,0.0998
1109,0.39
1110,0.245
1111,0.132
1112,0.0786
1113,0.0244
1114,0.0724
1115,0.282
1116,0.163
1117,0.076
1118,0.0345
1119,0.0685
1120,0.113
1121,0.0869
1122,0.234
1123,0.0821
1124,0.803
1125,0.189
1126,0.0525
1127,0.051
1128,0.0983
1129,0.00898
1130,0.004
1131,0.0313
1132,0.00139
1133,0.119
1134,0.00494
1135,0.000965
1136,0.177
1137,0.222
1138,0.00593
1139,0.0969
1140,0.381
1141,0.102
1142,0.0745
1143,0.197
1144,0.062
1145,0.0485
1146,0.0577
1147,0.238
1148,0.56
1149,0.15
1150,0.115
1151,0.0575
1152,0.0133
1153,0.0283
1154,0.00464
1155,0.97
1156,0.45
1157,0.00728
1158,0.549
1159,0.281
1160,0.00411
1161,0.0293
1162,0.000339
1163,0.00517
1164,0.075
1165,0.0355
1166,0.032
1167,0.0303
1168,0.0905
1169,0.128
1170,0.238
1171,0.401
1172,0.0235
1173,0.0102
1174,0.122
1175,0.0275
1176,0.00246
1177,0.416
1178,0.013
1179,0.0561
1180,0.131
1181,0.33
1182,0.0895
1183,0.304
1184,0.581
1185,0.0991
1186,0.167
1187,0.0656
1188,0.0921
1189,0.0319
1190,0.0643
1191,0.00622
1192,0.0567
1193,0.11
1194,0.555
1195,0.071
1196,0.00738
1197,0.039
1198,0.0295
1199,0.0384
1200,0.069
1201,0.0181
1202,0.000704
1203,0.0525
1204,0.0514
1205,0.0746
1206,0.0715
1207,0.112
1208,0.0762
1209,0.000979
1210,0.0183
1211,0.162
1212,0.0117
1213,0.0649
1214,0.00107
1215,0.0378
1216,0.0533
1217,0.0215
1218,0.219
1219,0.0196
1220,0.403
1221,0.186
1222,0.00901
1223,0.0431
1224,0.0208
1225,0.00373
1226,0.119
1227,0.161
1228,0.0532
1229,0.455
1230,0.0394
1231,0.0495
1232,0.379
1233,0.0363
1234,0.648
1235,0.766
1236,0.0189
1237,0.912
1238,0.447
1239,0.0353
1240,0.0342
1241,0.0164
1242,0.0176
1243,0.117
1244,0.28
1245,0.379
1246,0.199
1247,0.568
1248,0.498
1249,0.0229
1250,0.0141
1251,0.0107
1252,0.202
1253,0.587
1254,0.0298
1255,0.149
1256,0.000767
1257,0.627
1258,0.0218
1259,0.104
1260,0.415
1261,0.0458
1262,0.0166
1263,0.0108
1264,0.85
1265,0.193
1266,0.322
1267,0.298
1268,0.0875
1269,0.225
1270,0.00532
1271,0.000774
1272,0.187
1273,0.00497
1274,0.000619
1275,0.0643
1276,0.00687
1277,0.807
1278,0.0024
1279,0.0198
1280,0.000937
1281,0.0646
1282,0.183
1283,0.105
1284,0.0326
1285,0.0919
1286,0.0839
1287,0.0793
1288,0.471
1289,0.0832
1290,0.0551
1291,0.00392
1292,0.0101
1293,0.133
1294,0.157
1295,0.196
1296,0.000127
1297,1.51E-05
1298,7.94E-06
1299,0.00256
1300,0.000102
1301,8.35E-06
1302,0.00105
1303,5.83E-05
1304,1.84E-05
1305,0.000168
1306,8.12E-05
1307,1.01E-05
1308,0.000393
1309,0.0147
1310,4.42E-05
1311,2.95E-05
1312,5.73E-05
1313,8.53E-05
1314,4.19E-05
1315,6.49E-05
1316,7.53E-05
1317,0.000696
1318,0.000103
1319,2.67E-05
1320,0.00545
1321,0.000273
1322,4.95E-05
1323,0.000283
1324,0.000102
1325,0.000673
1326,0.00125
1327,4.58E-05
1328,1.35E-05
1329,0.000482
1330,1.2E-05
1331,6.56E-05
1332,0.00029
1333,0.000111
1334,2.13E-05
1335,5.4E-05
1336,0.000123
1337,8.8E-06
1338,3.28E-05
1339,1.94E-05
1340,1.56E-05
1341,0.00115
1342,5.32E-05
1343,1.45E-05
1344,0.00192
1345,2.21E-05
1346,2.05E-05
1347,1.69E-05
1348,4.55E-05
1349,5.41E-06
1350,0.00631
1351,0.0145
1352,0.0049
1353,0.00075
1354,0.0106
1355,0.0012
1356,0.654
1357,0.218
1358,0.328
1359,0.0171
1360,0.773
1361,0.498
1362,2.54E-05
1363,0.263
1364,0.712
1365,0.285
1366,0.0262
1367,0.364
1368,0.564
1369,0.873
1370,0.0989
1371,0.264
1372,0.669
1373,0.765
1374,0.164
1375,0.253
1376,0.107
1377,0.224
1378,0.532
1379,0.859
1380,0.837
1381,0.0219
1382,0.806
1383,0.439
1384,0.881
1385,0.0117
1386,0.423
1387,0.00922
1388,0.414
1389,0.705
1390,0.368
1391,0.289
1392,0.138
1393,0.909
1394,0.508
1395,0.772
1396,0.286
1397,0.0805
1398,0.804
1399,0.805
1400,0.858
1401,0.175
1402,0.578
1403,0.654
1404,0.663
1405,0.827
1406,0.503
1407,0.947
1408,0.461
1409,0.302
1410,0.0752
1411,0.358
1412,0.361
1413,0.331
1414,0.0451
1415,0.0242
1416,0.00375
1417,0.0415
1418,0.214
1419,0.00895
1420,0.0123
1421,0.00612
1422,0.00589
1423,0.00184
1424,0.0084
1425,0.0273
1426,0.00755
1427,0.0171
1428,0.033
1429,0.306
1430,0.00551
1431,0.0171
1432,0.0227
1433,0.00121
1434,0.135
1435,0.00613
1436,0.00101
1437,0.588
1438,0.00433
1439,0.0362
1440,0.643
1441,0.00145
1442,0.0771
1443,0.000679
1444,0.00518
1445,0.0987
1446,0.00576
1447,0.044
1448,0.291
1449,0.0256
1450,0.0235
1451,0.325
1452,0.149
1453,0.0214
1454,0.316
1455,0.139
1456,0.474
1457,0.108
1458,0.265
1459,0.158
1460,0.0144
1461,0.282
1462,0.0238
1463,0.128
1464,0.056
1465,0.00129
1466,0.0165
1467,0.0705
1468,0.00931
1469,0.0126
1470,0.00173
1471,0.0509
1472,0.125
1473,0.000817
1474,0.0143
1475,0.0107
1476,0.131
1477,0.0533
1478,0.0521
1479,0.00461
1480,0.00647
1481,0.00064
1482,0.166
1483,0.0105
1484,0.0121
1485,0.0771
1486,0.000569
1487,0.101
1488,0.217
1489,0.57
1490,0.00377
1491,0.0156
1492,0.186
1493,0.00466
1494,0.0506
1495,0.127
1496,0.267
1497,0.242
1498,0.393
1499,0.0219
1500,0.0913
1501,0.0261
1502,0.0909
1503,0.0182
1504,0.0018
1505,0.00477
1506,0.214
1507,0.0418
1508,0.48
1509,0.0234
1510,0.242
1511,0.559
1512,0.92
1513,0.89
1514,0.915
1515,0.922
1516,0.941
1517,0.935
1518,0.859
1519,0.871
1520,0.95
1521,0.973
1522,0.854
1523,0.957
1524,0.974
1525,0.958
1526,0.967
1527,0.914
1528,0.988
1529,0.886
1530,0.986
1531,0.94
1532,0.946
1533,0.929
1534,0.623
1535,0.992
1536,0.921
1537,0.81
1538,0.99
1539,0.87
1540,0.823
1541,0.965
1542,0.924
1543,0.761
1544,0.846
1545,0.961
1546,0.986
1547,0.857
1548,0.967
1549,0.971
1550,0.886
1551,0.868
1552,0.971
1553,0.96
1554,0.96
1555,0.748
1556,0.905
1557,0.912
1558,0.937
1559,0.717
1560,0.93
1561,0.903
1562,0.901
1563,0.195
1564,0.978
1565,0.91
1566,0.936
1567,0.918
1568,0.971
1569,0.899
1570,0.827
1571,0.972
1572,0.97
1573,0.949
1574,0.973
1575,0.967
1576,0.978
1577,0.577
1578,0.144
1579,0.652
1580,0.311
1581,0.273
1582,0.83
1583,0.826
1584,0.791
1585,0.0071
1586,0.0336
1587,0.649
1588,0.519
1589,0.147
1590,0.461
1591,0.741
1592,0.809
1593,0.278
1594,0.995
1595,0.915
1596,0.995
1597,0.971
1598,0.953
1599,0.993
1600,0.913
1601,0.983
1602,0.951
1603,0.991
1604,0.0841
1605,0.0319
1606,0.0682
1607,0.00623
1608,0.043
1609,0.0316
1610,0.059
1611,0.282
1612,0.0058
1613,0.141
1614,0.0086
1615,0.00732
1616,0.00837
1617,0.024
1618,0.00259
1619,0.00338
1620,0.00689
1621,0.475
1622,0.00695
1623,0.0362
1624,0.0144
1625,0.00164
1626,0.00136
1627,0.0124
1628,0.0168
1629,8.45E-05
1630,0.0896
1631,0.00429
1632,0.241
1633,0.00338
1634,0.0375
1635,0.021
1636,0.0732
1637,0.0663
1638,0.0534
1639,0.0291
1640,0.0344
1641,0.09
1642,0.00233
1643,0.00626
1644,0.000552
1645,0.031
1646,0.0583
1647,0.00346
1648,0.00354
1649,0.0028
1650,0.00388
1651,0.0856
1652,0.00273
1653,0.00158
1654,0.0344
1655,0.00481
1656,0.0111
1657,0.0178
1658,0.0268
1659,0.0711
1660,0.0107
1661,0.0024
1662,0.306
1663,0.00281
1664,0.0294
1665,0.0314
1666,0.0243
1667,0.0002
1668,0.0082
1669,0.0359
1670,0.157
1671,0.27
1672,0.0757
1673,0.114
1674,0.000175
1675,0.0583
1676,0.00436
1677,0.00107
1678,0.0765
1679,0.00278
1680,4.82E-05
1681,0.000285
1682,4.24E-05
1683,1.85E-05
1684,6.04E-05
1685,2.79E-05
1686,0.00267
1687,0.000353
1688,0.0245
1689,0.00643
1690,0.0154
1691,0.00172
1692,0.122
1693,0.119
1694,0.687
1695,0.0109
1696,0.0576
1697,0.0109
1698,0.0197
1699,0.000501
1700,0.0123
1701,0.799
1702,0.474
1703,0.292
1704,0.436
1705,0.167
1706,0.00634
1707,0.226
1708,0.0784
1709,0.112
1710,0.114
1711,0.101
1712,0.0987
1713,0.0735
1714,0.0273
1715,0.178
1716,0.0671
1717,0.219
1718,0.0196
1719,0.000479
1720,0.0117
1721,0.0453
1722,0.409
1723,0.0029
1724,0.067
1725,0.396
1726,0.267
1727,0.074
1728,0.105
1729,0.468
1730,0.499
1731,0.0788
1732,0.135
1733,0.0264
1734,0.0198
1735,0.3
1736,0.0479
1737,0.44
1738,0.0743
1739,0.0412
1740,0.00799
1741,0.16
1742,0.066
1743,0.0877
1744,0.0563
1745,0.117
1746,0.24
1747,0.245
1748,0.252
1749,0.0522
1750,0.397
1751,0.31
1752,0.26
1753,0.00819
1754,0.273
1755,0.304
1756,0.265
1757,0.117
1758,0.0786
1759,0.0058
1760,0.0565
1761,0.207
1762,0.00373
1763,0.243
1764,0.0862
1765,0.0925
1766,0.0772
1767,0.0138
1768,0.218
1769,0.0227
1770,0.257
1771,0.466
1772,0.163
1773,0.00541
1774,0.273
1775,0.00543
1776,0.362
1777,0.139
1778,0.102
1779,0.0382
1780,0.201
1781,0.245
1782,0.787
1783,0.0193
1784,0.789
1785,0.214
1786,0.413
1787,0.831
1788,0.789
1789,0.268
1790,0.74
1791,0.962
1792,0.126
1793,0.0269
1794,0.39
1795,0.00406
1796,0.771
1797,0.0305
1798,0.0278
1799,0.0273
1800,0.0901
1801,0.0637
1802,0.0368
1803,0.19
1804,0.122
1805,0.466
1806,0.104
1807,0.152
1808,0.0458
1809,0.00411
1810,0.211
1811,0.429
1812,0.00486
1813,0.00397
1814,0.256
1815,0.4
1816,0.0156
1817,0.828
1818,0.41
1819,0.299
1820,0.382
1821,0.45
1822,0.0136
1823,0.00509
1824,0.0535
1825,0.000668
1826,0.00216
1827,0.0236
1828,0.0491
1829,0.11
1830,0.0367
1831,0.43
1832,0.23
1833,0.00388
1834,0.107
1835,0.143
1836,0.0371
1837,0.309
1838,0.0345
1839,0.00159
1840,0.106
1841,0.845
1842,0.0647
1843,0.197
1844,0.0029
1845,0.307
1846,0.413
1847,0.0704
1848,0.0117
1849,0.371
1850,0.0527
1851,0.415
1852,0.311
1853,0.00947
1854,0.259
1855,0.784
1856,0.965
1857,0.524
1858,0.622
1859,0.904
1860,0.701
1861,0.265
1862,0.286
1863,0.0299
1864,0.859
1865,0.323
1866,0.395
1867,0.208
1868,0.0897
1869,0.185
1870,0.0754
1871,0.245
1872,0.266
1873,0.58
1874,0.0331
1875,0.0816
1876,0.994
1877,0.00832
1878,0.211
1879,0.00162
1880,9.24E-05
1881,0.00117
1882,0.000372
1883,0.00131
1884,0.171
1885,0.00913
1886,0.00468
1887,0.0108
1888,0.0558
1889,0.0067
1890,0.16
1891,0.000891
1892,0.417
1893,0.0437
1894,0.114
1895,0.219
1896,0.00971
1897,0.00133
1898,0.0271
1899,0.25
1900,0.35
1901,0.0584
1902,0.0823
1903,0.185
1904,0.173
1905,0.139
1906,0.0251
1907,0.0661
1908,0.00129
1909,0.101
1910,0.0028
1911,0.313
1912,0.25
1913,1.92E-05
1914,0.16
1915,0.161
1916,0.43
1917,0.0534
1918,0.0962
1919,0.0449
1920,0.153
1921,0.0863
1922,0.363
1923,0.000501
1924,0.0296
1925,0.0475
1926,0.632
1927,0.284
1928,0.00542
1929,0.00281
1930,0.101
1931,0.0446
1932,0.0559
1933,0.00125
1934,0.265
1935,0.12
1936,0.0572
1937,0.132
1938,0.121
1939,0.0174
1940,0.00599
1941,0.0561
1942,0.00733
1943,0.0581
1944,0.0803
1945,0.573
1946,0.284
1947,0.674
1948,0.453
1949,0.342
1950,0.707
1951,0.267
1952,0.25
1953,0.00754
1954,0.422
1955,0.16
1956,0.441
1957,0.0336
1958,0.154
1959,0.719
1960,0.537
1961,0.00769
1962,0.0588
1963,0.721
1964,0.00513
1965,0.677
1966,0.483
1967,0.00141
1968,0.0459
1969,0.288
1970,0.0364
